set,index,current_path,current_name,seo_name_to_write,new_filename_preview
01,01,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-01.webp,easter-collection-set-01-kawaii-sticker-01.webp,kawaii-easter-school-supplies-paper-tape-sticker,kawaii-easter-school-supplies-paper-tape-sticker.webp
01,02,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-02.webp,easter-collection-set-01-kawaii-sticker-02.webp,kawaii-easter-school-supplies-pink-hair-dryer-sticker,kawaii-easter-school-supplies-pink-hair-dryer-sticker.webp
01,03,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-03.webp,easter-collection-set-01-kawaii-sticker-03.webp,kawaii-easter-school-supplies-cream-safety-helmet-sticker,kawaii-easter-school-supplies-cream-safety-helmet-sticker.webp
01,04,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-04.webp,easter-collection-set-01-kawaii-sticker-04.webp,kawaii-easter-school-supplies-orange-cassette-player-sticker,kawaii-easter-school-supplies-orange-cassette-player-sticker.webp
01,05,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-05.webp,easter-collection-set-01-kawaii-sticker-05.webp,kawaii-easter-school-supplies-pink-washi-tape-sticker,kawaii-easter-school-supplies-pink-washi-tape-sticker.webp
01,06,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-06.webp,easter-collection-set-01-kawaii-sticker-06.webp,kawaii-easter-school-supplies-blue-striped-tote-bag-sticker,kawaii-easter-school-supplies-blue-striped-tote-bag-sticker.webp
01,07,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-07.webp,easter-collection-set-01-kawaii-sticker-07.webp,kawaii-easter-school-supplies-floral-envelope-sticker,kawaii-easter-school-supplies-floral-envelope-sticker.webp
01,08,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-08.webp,easter-collection-set-01-kawaii-sticker-08.webp,kawaii-easter-school-supplies-peach-shell-sticker,kawaii-easter-school-supplies-peach-shell-sticker.webp
01,09,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-09.webp,easter-collection-set-01-kawaii-sticker-09.webp,kawaii-easter-school-supplies-teddy-bear-sticker,kawaii-easter-school-supplies-teddy-bear-sticker.webp
01,10,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-10.webp,easter-collection-set-01-kawaii-sticker-10.webp,kawaii-easter-school-supplies-pencil-cup-sticker,kawaii-easter-school-supplies-pencil-cup-sticker.webp
01,11,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-11.webp,easter-collection-set-01-kawaii-sticker-11.webp,kawaii-easter-school-supplies-paper-note-sign-sticker,kawaii-easter-school-supplies-paper-note-sign-sticker.webp
01,12,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-12.webp,easter-collection-set-01-kawaii-sticker-12.webp,kawaii-easter-school-supplies-white-bucket-hat-sticker,kawaii-easter-school-supplies-white-bucket-hat-sticker.webp
01,13,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-13.webp,easter-collection-set-01-kawaii-sticker-13.webp,kawaii-easter-school-supplies-pink-backpack-sticker,kawaii-easter-school-supplies-pink-backpack-sticker.webp
01,14,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-14.webp,easter-collection-set-01-kawaii-sticker-14.webp,kawaii-easter-school-supplies-yellow-water-bottle-sticker,kawaii-easter-school-supplies-yellow-water-bottle-sticker.webp
01,15,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-15.webp,easter-collection-set-01-kawaii-sticker-15.webp,kawaii-easter-school-supplies-blue-bath-tub-sticker,kawaii-easter-school-supplies-blue-bath-tub-sticker.webp
01,16,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-16.webp,easter-collection-set-01-kawaii-sticker-16.webp,kawaii-easter-school-supplies-purple-ruler-sticker,kawaii-easter-school-supplies-purple-ruler-sticker.webp
01,17,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-17.webp,easter-collection-set-01-kawaii-sticker-17.webp,kawaii-easter-school-supplies-orange-pencil-sticker,kawaii-easter-school-supplies-orange-pencil-sticker.webp
01,18,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-18.webp,easter-collection-set-01-kawaii-sticker-18.webp,kawaii-easter-school-supplies-paper-cranes-sticker,kawaii-easter-school-supplies-paper-cranes-sticker.webp
01,19,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-19.webp,easter-collection-set-01-kawaii-sticker-19.webp,kawaii-easter-school-supplies-blue-pencil-cup-sticker,kawaii-easter-school-supplies-blue-pencil-cup-sticker.webp
01,20,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-20.webp,easter-collection-set-01-kawaii-sticker-20.webp,kawaii-easter-school-supplies-red-toy-truck-sticker,kawaii-easter-school-supplies-red-toy-truck-sticker.webp
01,21,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-21.webp,easter-collection-set-01-kawaii-sticker-21.webp,kawaii-easter-school-supplies-paperclip-sticker,kawaii-easter-school-supplies-paperclip-sticker.webp
01,22,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-22.webp,easter-collection-set-01-kawaii-sticker-22.webp,kawaii-easter-school-supplies-pink-backpack-small-sticker,kawaii-easter-school-supplies-pink-backpack-small-sticker.webp
01,23,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-23.webp,easter-collection-set-01-kawaii-sticker-23.webp,kawaii-easter-school-supplies-pencil-sticker,kawaii-easter-school-supplies-pencil-sticker.webp
01,24,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-24.webp,easter-collection-set-01-kawaii-sticker-24.webp,kawaii-easter-school-supplies-blue-pencil-cup-small-sticker,kawaii-easter-school-supplies-blue-pencil-cup-small-sticker.webp
01,25,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-25.webp,easter-collection-set-01-kawaii-sticker-25.webp,kawaii-easter-school-supplies-flower-pot-sticker,kawaii-easter-school-supplies-flower-pot-sticker.webp
01,26,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-26.webp,easter-collection-set-01-kawaii-sticker-26.webp,kawaii-easter-school-supplies-medicine-bottle-sticker,kawaii-easter-school-supplies-medicine-bottle-sticker.webp
01,27,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-27.webp,easter-collection-set-01-kawaii-sticker-27.webp,kawaii-easter-school-supplies-birthday-cake-sticker,kawaii-easter-school-supplies-birthday-cake-sticker.webp
01,28,ester-collection/crops/webp-1024-set-01/easter-collection-set-01-kawaii-sticker-28.webp,easter-collection-set-01-kawaii-sticker-28.webp,kawaii-easter-school-supplies-pencil-case-sticker,kawaii-easter-school-supplies-pencil-case-sticker.webp
02,01,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-01.webp,easter-collection-set-02-kawaii-sticker-01.webp,kawaii-easter-bunny-rainbow-yellow-rain-boots-sticker,kawaii-easter-bunny-rainbow-yellow-rain-boots-sticker.webp
02,02,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-02.webp,easter-collection-set-02-kawaii-sticker-02.webp,kawaii-easter-bunny-rainbow-pastel-rainbow-cloud-sticker,kawaii-easter-bunny-rainbow-pastel-rainbow-cloud-sticker.webp
02,03,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-03.webp,easter-collection-set-02-kawaii-sticker-03.webp,kawaii-easter-bunny-rainbow-easter-cupcake-sticker,kawaii-easter-bunny-rainbow-easter-cupcake-sticker.webp
02,04,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-04.webp,easter-collection-set-02-kawaii-sticker-04.webp,kawaii-easter-bunny-rainbow-microphone-sticker,kawaii-easter-bunny-rainbow-microphone-sticker.webp
02,05,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-05.webp,easter-collection-set-02-kawaii-sticker-05.webp,kawaii-easter-bunny-rainbow-weekly-planner-sticker,kawaii-easter-bunny-rainbow-weekly-planner-sticker.webp
02,06,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-06.webp,easter-collection-set-02-kawaii-sticker-06.webp,kawaii-easter-bunny-rainbow-bunny-envelope-sticker,kawaii-easter-bunny-rainbow-bunny-envelope-sticker.webp
02,07,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-07.webp,easter-collection-set-02-kawaii-sticker-07.webp,kawaii-easter-bunny-rainbow-flower-envelope-sticker,kawaii-easter-bunny-rainbow-flower-envelope-sticker.webp
02,08,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-08.webp,easter-collection-set-02-kawaii-sticker-08.webp,kawaii-easter-bunny-rainbow-rainbow-cloud-small-sticker,kawaii-easter-bunny-rainbow-rainbow-cloud-small-sticker.webp
02,09,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-09.webp,easter-collection-set-02-kawaii-sticker-09.webp,kawaii-easter-bunny-rainbow-pencil-cup-sticker,kawaii-easter-bunny-rainbow-pencil-cup-sticker.webp
02,10,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-10.webp,easter-collection-set-02-kawaii-sticker-10.webp,kawaii-easter-bunny-rainbow-paper-note-sign-sticker,kawaii-easter-bunny-rainbow-paper-note-sign-sticker.webp
02,11,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-11.webp,easter-collection-set-02-kawaii-sticker-11.webp,kawaii-easter-bunny-rainbow-kawaii-bunny-face-sticker,kawaii-easter-bunny-rainbow-kawaii-bunny-face-sticker.webp
02,12,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-12.webp,easter-collection-set-02-kawaii-sticker-12.webp,kawaii-easter-bunny-rainbow-smiley-note-sticker,kawaii-easter-bunny-rainbow-smiley-note-sticker.webp
02,13,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-13.webp,easter-collection-set-02-kawaii-sticker-13.webp,kawaii-easter-bunny-rainbow-teddy-bear-face-sticker,kawaii-easter-bunny-rainbow-teddy-bear-face-sticker.webp
02,14,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-14.webp,easter-collection-set-02-kawaii-sticker-14.webp,kawaii-easter-bunny-rainbow-heart-badge-sticker,kawaii-easter-bunny-rainbow-heart-badge-sticker.webp
02,15,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-15.webp,easter-collection-set-02-kawaii-sticker-15.webp,kawaii-easter-bunny-rainbow-calendar-card-sticker,kawaii-easter-bunny-rainbow-calendar-card-sticker.webp
02,16,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-16.webp,easter-collection-set-02-kawaii-sticker-16.webp,kawaii-easter-bunny-rainbow-stacked-books-sticker,kawaii-easter-bunny-rainbow-stacked-books-sticker.webp
02,17,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-17.webp,easter-collection-set-02-kawaii-sticker-17.webp,kawaii-easter-bunny-rainbow-floral-paper-sticker,kawaii-easter-bunny-rainbow-floral-paper-sticker.webp
02,18,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-18.webp,easter-collection-set-02-kawaii-sticker-18.webp,kawaii-easter-bunny-rainbow-letter-paper-sticker,kawaii-easter-bunny-rainbow-letter-paper-sticker.webp
02,19,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-19.webp,easter-collection-set-02-kawaii-sticker-19.webp,kawaii-easter-bunny-rainbow-microphone-small-sticker,kawaii-easter-bunny-rainbow-microphone-small-sticker.webp
02,20,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-20.webp,easter-collection-set-02-kawaii-sticker-20.webp,kawaii-easter-bunny-rainbow-carrot-sticker,kawaii-easter-bunny-rainbow-carrot-sticker.webp
02,21,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-21.webp,easter-collection-set-02-kawaii-sticker-21.webp,kawaii-easter-bunny-rainbow-bunny-balloon-sticker,kawaii-easter-bunny-rainbow-bunny-balloon-sticker.webp
02,22,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-22.webp,easter-collection-set-02-kawaii-sticker-22.webp,kawaii-easter-bunny-rainbow-pink-bunny-face-sticker,kawaii-easter-bunny-rainbow-pink-bunny-face-sticker.webp
02,23,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-23.webp,easter-collection-set-02-kawaii-sticker-23.webp,kawaii-easter-bunny-rainbow-open-notebook-sticker,kawaii-easter-bunny-rainbow-open-notebook-sticker.webp
02,24,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-24.webp,easter-collection-set-02-kawaii-sticker-24.webp,kawaii-easter-bunny-rainbow-basket-of-eggs-sticker,kawaii-easter-bunny-rainbow-basket-of-eggs-sticker.webp
02,25,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-25.webp,easter-collection-set-02-kawaii-sticker-25.webp,kawaii-easter-bunny-rainbow-orange-pencil-sticker,kawaii-easter-bunny-rainbow-orange-pencil-sticker.webp
02,26,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-26.webp,easter-collection-set-02-kawaii-sticker-26.webp,kawaii-easter-bunny-rainbow-teacup-sticker,kawaii-easter-bunny-rainbow-teacup-sticker.webp
02,27,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-27.webp,easter-collection-set-02-kawaii-sticker-27.webp,kawaii-easter-bunny-rainbow-pink-bunny-sticker,kawaii-easter-bunny-rainbow-pink-bunny-sticker.webp
02,28,ester-collection/crops/webp-1024-set-02/easter-collection-set-02-kawaii-sticker-28.webp,easter-collection-set-02-kawaii-sticker-28.webp,kawaii-easter-bunny-rainbow-blue-flower-pot-sticker,kawaii-easter-bunny-rainbow-blue-flower-pot-sticker.webp
03,01,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-01.webp,easter-collection-set-03-kawaii-sticker-01.webp,kawaii-easter-school-supplies-asset-01-sticker,kawaii-easter-school-supplies-asset-01-sticker.webp
03,02,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-02.webp,easter-collection-set-03-kawaii-sticker-02.webp,kawaii-easter-school-supplies-asset-02-sticker,kawaii-easter-school-supplies-asset-02-sticker.webp
03,03,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-03.webp,easter-collection-set-03-kawaii-sticker-03.webp,kawaii-easter-school-supplies-asset-03-sticker,kawaii-easter-school-supplies-asset-03-sticker.webp
03,04,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-04.webp,easter-collection-set-03-kawaii-sticker-04.webp,kawaii-easter-school-supplies-asset-04-sticker,kawaii-easter-school-supplies-asset-04-sticker.webp
03,05,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-05.webp,easter-collection-set-03-kawaii-sticker-05.webp,kawaii-easter-school-supplies-asset-05-sticker,kawaii-easter-school-supplies-asset-05-sticker.webp
03,06,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-06.webp,easter-collection-set-03-kawaii-sticker-06.webp,kawaii-easter-school-supplies-asset-06-sticker,kawaii-easter-school-supplies-asset-06-sticker.webp
03,07,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-07.webp,easter-collection-set-03-kawaii-sticker-07.webp,kawaii-easter-school-supplies-asset-07-sticker,kawaii-easter-school-supplies-asset-07-sticker.webp
03,08,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-08.webp,easter-collection-set-03-kawaii-sticker-08.webp,kawaii-easter-school-supplies-asset-08-sticker,kawaii-easter-school-supplies-asset-08-sticker.webp
03,09,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-09.webp,easter-collection-set-03-kawaii-sticker-09.webp,kawaii-easter-school-supplies-asset-09-sticker,kawaii-easter-school-supplies-asset-09-sticker.webp
03,10,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-10.webp,easter-collection-set-03-kawaii-sticker-10.webp,kawaii-easter-school-supplies-asset-10-sticker,kawaii-easter-school-supplies-asset-10-sticker.webp
03,11,ester-collection/crops/webp-1024-set-03/easter-collection-set-03-kawaii-sticker-11.webp,easter-collection-set-03-kawaii-sticker-11.webp,kawaii-easter-school-supplies-asset-11-sticker,kawaii-easter-school-supplies-asset-11-sticker.webp
